Width: 3, Height: 3, Target Filling-rate: 90.00%, Calculated tmax: 8, Success rate: 68.35%
Width: 4, Height: 4, Target Filling-rate: 90.00%, Calculated tmax: 14, Success rate: 39.60%
Width: 5, Height: 5, Target Filling-rate: 90.00%, Calculated tmax: 22, Success rate: 13.60%
Width: 6, Height: 6, Target Filling-rate: 90.00%, Calculated tmax: 32, Success rate: 4.05%
Width: 7, Height: 7, Target Filling-rate: 90.00%, Calculated tmax: 44, Success rate: 0.45%
Width: 8, Height: 8, Target Filling-rate: 90.00%, Calculated tmax: 57, Success rate: 0.15%
Width: 9, Height: 9, Target Filling-rate: 90.00%, Calculated tmax: 72, Success rate: 0.15%
Width: 10, Height: 10, Target Filling-rate: 90.00%, Calculated tmax: 90, Success rate: 0.00%
Width: 3, Height: 3, Target Filling-rate: 80.00%, Calculated tmax: 7, Success rate: 83.45%
Width: 4, Height: 4, Target Filling-rate: 80.00%, Calculated tmax: 12, Success rate: 63.00%
Width: 5, Height: 5, Target Filling-rate: 80.00%, Calculated tmax: 20, Success rate: 28.10%
Width: 6, Height: 6, Target Filling-rate: 80.00%, Calculated tmax: 28, Success rate: 16.80%
Width: 7, Height: 7, Target Filling-rate: 80.00%, Calculated tmax: 39, Success rate: 5.00%
Width: 8, Height: 8, Target Filling-rate: 80.00%, Calculated tmax: 51, Success rate: 2.10%
Width: 9, Height: 9, Target Filling-rate: 80.00%, Calculated tmax: 64, Success rate: 0.85%
Width: 10, Height: 10, Target Filling-rate: 80.00%, Calculated tmax: 80, Success rate: 0.15%
Width: 3, Height: 3, Target Filling-rate: 70.00%, Calculated tmax: 6, Success rate: 91.05%
Width: 4, Height: 4, Target Filling-rate: 70.00%, Calculated tmax: 11, Success rate: 68.15%
Width: 5, Height: 5, Target Filling-rate: 70.00%, Calculated tmax: 17, Success rate: 50.25%
Width: 6, Height: 6, Target Filling-rate: 70.00%, Calculated tmax: 25, Success rate: 26.60%
Width: 7, Height: 7, Target Filling-rate: 70.00%, Calculated tmax: 34, Success rate: 16.50%
Width: 8, Height: 8, Target Filling-rate: 70.00%, Calculated tmax: 44, Success rate: 9.00%
Width: 9, Height: 9, Target Filling-rate: 70.00%, Calculated tmax: 56, Success rate: 3.15%
Width: 10, Height: 10, Target Filling-rate: 70.00%, Calculated tmax: 70, Success rate: 1.30%
Width: 3, Height: 3, Target Filling-rate: 60.00%, Calculated tmax: 5, Success rate: 100.00%
Width: 4, Height: 4, Target Filling-rate: 60.00%, Calculated tmax: 9, Success rate: 82.40%
Width: 5, Height: 5, Target Filling-rate: 60.00%, Calculated tmax: 15, Success rate: 61.20%
Width: 6, Height: 6, Target Filling-rate: 60.00%, Calculated tmax: 21, Success rate: 45.75%
Width: 7, Height: 7, Target Filling-rate: 60.00%, Calculated tmax: 29, Success rate: 31.40%
Width: 8, Height: 8, Target Filling-rate: 60.00%, Calculated tmax: 38, Success rate: 18.65%
Width: 9, Height: 9, Target Filling-rate: 60.00%, Calculated tmax: 48, Success rate: 10.80%
Width: 10, Height: 10, Target Filling-rate: 60.00%, Calculated tmax: 60, Success rate: 6.20%
Width: 3, Height: 3, Target Filling-rate: 50.00%, Calculated tmax: 4, Success rate: 100.00%
Width: 4, Height: 4, Target Filling-rate: 50.00%, Calculated tmax: 8, Success rate: 89.65%
Width: 5, Height: 5, Target Filling-rate: 50.00%, Calculated tmax: 12, Success rate: 78.10%
Width: 6, Height: 6, Target Filling-rate: 50.00%, Calculated tmax: 18, Success rate: 61.20%
Width: 7, Height: 7, Target Filling-rate: 50.00%, Calculated tmax: 24, Success rate: 45.65%
Width: 8, Height: 8, Target Filling-rate: 50.00%, Calculated tmax: 32, Success rate: 32.30%
Width: 9, Height: 9, Target Filling-rate: 50.00%, Calculated tmax: 40, Success rate: 22.25%
Width: 10, Height: 10, Target Filling-rate: 50.00%, Calculated tmax: 50, Success rate: 13.45%
